District,Type,A24,A5P,MH,SFA,SFD,GQ
CT165,Metropolitan,0,0,0,0,3554,0
CT165,Metropolitan,0,0,0,0,0,0
CT165,Metropolitan,0,0,0,0,0,0
CT166,Metropolitan,0,0,0,614,0,0
CT166,Metropolitan,0,0,0,0,1638,0
CT166,Metropolitan,0,751,0,0,2471,0
CT167,Metropolitan,0,410,0,521,6857,0
CT167,Metropolitan,0,0,0,0,4374,0
CT167,Metropolitan,0,253,0,516,634,0
CT168,Metropolitan,0,0,0,0,359,0
CT168,Metropolitan,0,0,0,0,829,0
CT168,Metropolitan,0,0,0,0,2926,0
CT169,Metropolitan,0,0,626,0,3398,0
CT169,Metropolitan,0,0,1008,0,317,0
CT169,Metropolitan,0,0,0,0,0,0
CT170,Metropolitan,0,0,0,247,599,0
CT170,Metropolitan,0,0,0,0,1630,0
CT170,Metropolitan,0,484,0,1020,10057,0
CT171,Metropolitan,0,0,0,0,3658,0
CT171,Metropolitan,0,1606,0,190,1505,0
CT171,Metropolitan,0,0,0,0,386,0
CT172,Metropolitan,0,799,572,214,3430,0
CT172,Metropolitan,0,0,0,311,2594,0
CT172,Metropolitan,0,0,0,0,0,0
CT173,Metropolitan,0,0,0,0,9191,0
CT173,Metropolitan,0,0,0,0,0,0
CT173,Metropolitan,0,0,0,1002,11551,0
CT174,Metropolitan,0,1081,0,572,2636,0
CT174,Metropolitan,0,0,0,0,125,0
CT174,Metropolitan,0,0,0,0,353,0
CT175,Metropolitan,0,0,0,0,0,0
CT175,Metropolitan,0,0,0,394,5008,0
CT175,Metropolitan,0,2016,0,778,6430,0
CT176,Metropolitan,0,282,0,0,478,0
CT176,Metropolitan,0,0,0,0,1250,0
CT176,Metropolitan,0,814,0,140,1565,0
CT177,Metropolitan,0,979,0,0,0,0
CT177,Metropolitan,0,605,0,0,1874,0
CT177,Metropolitan,0,0,0,0,1066,0
CT178,Metropolitan,0,924,0,0,1981,0
CT178,Metropolitan,0,0,0,0,0,0
CT178,Metropolitan,0,320,0,0,1903,0
CT179,Metropolitan,0,0,0,0,0,0
CT179,Metropolitan,0,430,0,0,0,0
CT179,Metropolitan,0,924,0,0,2659,0
CT180,Metropolitan,0,0,0,0,0,0
CT180,Metropolitan,0,265,0,320,823,0
CT180,Metropolitan,0,0,0,0,0,0
CT181,Metropolitan,0,0,0,0,730,0
CT181,Metropolitan,0,0,0,0,0,0
CT181,Metropolitan,0,0,0,0,535,0
CT182,Metropolitan,0,0,0,0,0,0
CT182,Metropolitan,0,313,0,0,989,0
CT182,Metropolitan,0,0,0,0,0,0
CT183,Metropolitan,0,0,0,0,0,0
CT183,Metropolitan,0,0,0,0,2306,0
CT183,Metropolitan,0,0,0,0,11626,0
CT184,Metropolitan,0,0,0,0,0,0
CT184,Metropolitan,0,0,0,0,4391,0
CT184,Metropolitan,0,0,0,799,1408,0
CT185,Metropolitan,0,0,0,0,3635,0
CT185,Metropolitan,0,1402,0,0,0,0
CT185,Metropolitan,0,0,0,0,0,0
CT186,Metropolitan,0,0,0,0,0,0
CT186,Metropolitan,0,0,0,0,0,0
CT186,Metropolitan,0,0,0,0,0,0
CT187,Metropolitan,0,2569,0,0,3293,0
CT187,Metropolitan,0,0,0,0,526,0
CT187,Metropolitan,0,0,0,355,1079,0
CT188,Metropolitan,0,250,0,310,3258,0
CT188,Metropolitan,0,0,0,0,0,0
CT188,Metropolitan,0,1446,0,0,2849,0
CT189,Metropolitan,0,0,0,0,0,0
CT189,Metropolitan,0,0,0,0,2051,0
CT189,Metropolitan,0,0,0,0,5891,0
CT190,Metropolitan,0,454,0,0,2490,0
CT190,Metropolitan,0,3748,0,0,2419,0
CT190,Metropolitan,0,0,0,0,3377,0
CT191,Metropolitan,0,630,314,0,11230,0
CT191,Metropolitan,0,382,0,0,0,0
CT191,Metropolitan,0,0,0,0,478,0
CT192,Metropolitan,0,0,0,0,931,0
CT192,Metropolitan,0,1054,390,0,2734,0
CT192,Metropolitan,0,0,0,593,0,0
CT193,Metropolitan,0,708,0,265,0,0
CT193,Metropolitan,0,634,0,883,4124,0
CT193,Metropolitan,0,0,0,593,1126,0
CT194,Metropolitan,0,790,605,1178,0,0
