District,TotHh,TotHhPop,GroupPop,HhPerCapInc
13121010205,2401,5001,0,32703.27
13121010206,2029,5340,0,61309.1
13121010208,2440,4226,0,54960.56
13121010209,2823,4998,0,40055.49
13121010210,2617,6832,0,44876.07
13121010211,1376,3101,0,61322.34
13121010212,2109,5579,0,35381.64
13121010301,6391,15995,0,30788.3
13121010303,3684,9790,0,31061.42
13121010304,5020,13496,0,25964.18
13121010400,3936,10821,0,26734.83
13121010507,3073,8258,0,21095.37
13121010508,1483,4439,0,19758.74
13121010510,6716,16382,0,23754.62
13121010511,3149,8856,0,19179.69
13121010512,2740,6574,0,20206.31
13121010513,5107,13968,0,18947.91
13121010514,4809,13211,0,25546.82
13121010515,2099,4678,0,23671.76
13121010516,2921,8678,0,24267.07
13121010601,1384,3550,0,14693.07
13121010603,1581,3840,0,15546.01
13121010604,1738,4755,0,15263.27
13121010800,2492,6049,0,17324.18
13121011000,1214,3697,0,8752.788
13121011100,1191,2954,0,18500.29
13121011201,1728,4345,0,13510.13
13121011202,2077,5614,0,14294.06
13121011301,2027,5280,0,22693.4
13121011303,3638,9522,0,21835.32
13121011305,1921,4645,0,18267.58
13121011306,1246,3336,0,13393.72
13121011405,3039,7551,0,28406.33
13121011410,2716,6761,0,57334.86
13121011411,3165,8770,0,41639.81
13121011412,3729,9371,0,30227.67
13121011414,3236,8209,0,45293.02
13121011416,2175,5598,0,37826.47
13121011417,2107,4793,0,50321.68
13121011418,2329,5716,0,54817.46
13121011419,2517,6122,0,48265.25
13121011420,2282,6977,0,23444.62
13121011421,1722,4495,0,18043.54
13121011422,1619,3630,0,56242.86
13121011423,1992,5196,0,52073.02
13121011424,2218,5271,0,58572.79
13121011425,2402,7533,0,61861.22
13121011426,791,2599,0,39922.45
13121011427,3167,8124,0,52960.04
13121011503,3130,8862,0,49712.06
13121011504,3998,12049,0,51853.92
13121011505,1423,4743,0,36882.6
13121011506,2252,6356,0,52981.91
13121011610,2035,5471,0,42037.54
13121011611,3073,7045,0,21537.66
13121011612,1231,3275,0,51982.46
13121011613,2366,6936,0,42893.54
13121011614,6174,11305,0,40429.81
13121011615,3432,8700,0,53676.96
13121011616,2468,4620,0,29433.71
13121011617,3074,9176,0,39305.7
13121011618,1614,4159,0,62332.45
13121011619,3131,7145,0,45841.53
13121011620,3314,9483,0,45111.25
13121011621,2430,6405,0,55604.91
13121011622,2977,10018,0,44264.3
13121011623,4335,12137,0,52797.44
13121011624,1290,4641,0,46615.15
13121011625,2877,8457,0,51470.74
13121011626,2867,8551,0,53150.45
13121011800,1602,3151,0,6893.484
13121011900,2052,3535,0,13085.69
13121012000,1398,3055,0,20618.75
13121012300,1359,3315,0,14767.46
13121980000,0,0,0,0
13135050103,3853,10348,0,22248.28
13135050105,1822,5008,0,22328.21
13135050106,3985,10853,0,23927.26
13135050107,2347,6219,0,28719.16
13135050108,3319,9023,0,35530.18
13135050109,3047,8523,0,23299.38
13135050205,1887,4677,0,20684.56
13135050208,2219,6679,0,27993.33
13135050209,3492,9075,0,29960.63
13135050210,3241,8112,0,29417.7
13135050211,2291,5582,0,10825.35
13135050212,4177,12610,0,38428.75
13135050213,3583,10502,0,35823.44
13135050214,3188,8952,0,41194.9
13135050215,1364,2798,0,12576.16
13135050216,3314,9723,0,31181.82
13135050217,3684,9345,0,32135.38
13135050218,1309,3949,0,26431.9
13135050219,1409,3169,0,40583.78
13135050220,2816,6004,0,34592.35
13135050304,2371,5796,0,12307.97
13135050306,1393,4834,0,16410.46
13135050308,1257,3840,0,29749.1
13135050309,3486,8928,0,29837.39
13135050310,2603,5255,0,36861.06
13135050311,2004,4418,0,34215.86
13135050313,2508,7497,0,16118.72
13135050314,3525,10201,0,28694.81
13135050315,2184,5041,0,26987.64
13135050317,1612,3490,0,19846.73
13135050318,1224,3057,0,24884.91
13135050319,1869,6235,0,16960.59
13135050320,1717,5409,0,20237.83
13135050321,1540,4706,0,48148.39
13135050322,1641,5152,0,46525.13
13135050410,2391,6749,0,20605.45
13135050415,1726,5030,0,33110.53
13135050416,1369,4248,0,24561.99
13135050417,1952,5772,0,23860.07
13135050418,2384,6562,0,21217.82
13135050419,2435,7445,0,21971.57
13135050421,2800,8349,0,21515.94
13135050422,2314,7124,0,18927.09
13135050423,2419,7024,0,17768.14
13135050424,2689,7022,0,23222.5
13135050425,2075,6151,0,34151.78
13135050426,2666,7455,0,30792.12
13135050427,2145,6040,0,36845.95
13135050428,2143,6395,0,28959.62
13135050429,2548,7497,0,33754.1
13135050430,2127,5642,0,21607.8
13135050431,3172,7596,0,28943.32
13135050432,2481,7272,0,27296.8
13135050433,926,2257,0,28860.72
13135050434,2342,7150,0,18670.11
13135050435,1438,4037,0,22450.08
13135050436,2682,6609,0,21600.17
13135050511,3854,11515,0,22322.06
13135050520,2033,4849,0,15691.22
13135050521,1929,5312,0,44228.19
13135050522,1679,4361,0,24316.59
13135050523,2986,7051,0,41791.02
13135050524,2125,5093,0,27224.86
13135050525,2762,8443,0,22040.97
13135050526,2005,4661,0,27818.68
13135050527,2044,6298,0,32337.89
13135050528,1683,5222,0,32524.72
13135050529,1504,4175,0,29577.36
13135050530,2441,6982,0,37577.85
13135050531,2539,7806,0,27328.83
13135050532,2622,7756,0,25574.46
13135050533,2519,7383,0,25375.27
13135050534,2536,7193,0,26406.11
13135050535,2168,6458,0,23506.04
